seller_state_,review_score_mean,ticket_medio,products_by_orders,dias_na_base,perc_atividade,inativo
21,5.0,169.81,2.0,9,33.33,0
21,4.4,478.5,1.25,44,9.09,0
14,4.181818181818182,113.62,1.1,224,4.02,0
21,5.0,191.17,1.33,21,14.29,0
21,4.5,106.56,1.14,251,2.39,1
14,4.6923076923076925,64.4,1.08,143,6.99,0
14,4.351351351351352,208.35,1.09,360,8.61,0
21,4.0,56.47,1.0,22,18.18,0
21,2.5555555555555554,216.12,1.5,155,7.74,0
21,5.0,154.78,1.0,1,100.0,0
15,3.0,40.38,1.0,2,100.0,0
21,3.736842105263158,682.37,1.12,517,2.9,0
21,5.0,111.76,1.0,1,100.0,1
21,2.652173913043478,233.46,1.88,558,4.3,0
21,2.2941176470588234,553.72,3.4,144,3.47,1
21,4.0,118.59,1.0,1,100.0,0
21,4.185185185185185,156.76,1.0,103,20.39,0
21,4.0,174.76,1.6,253,8.3,1
21,3.9375,142.8,1.03,284,10.21,1
7,3.9130434782608696,220.62,1.48,194,14.95,0
21,4.125,56.53,1.0,192,4.17,1
21,4.428571428571429,1566.98,1.6,14,28.57,1
7,4.321428571428571,131.44,1.14,406,21.43,0
21,4.5,47.14,1.0,54,11.11,0
18,5.0,1038.9,1.0,1,100.0,0
21,4.592,184.02,1.15,186,36.02,0
7,5.0,47.04,1.0,1,100.0,0
21,5.0,90.12,1.0,98,3.06,0
21,4.0,127.2,3.0,1,100.0,1
21,4.666666666666667,149.49,1.0,337,1.48,1
21,4.0,42.34,1.0,112,22.32,0
21,5.0,160.94,1.5,25,8.0,1
3,5.0,261.98,1.12,98,6.12,1
21,4.666666666666667,49.86,1.07,327,3.67,0
21,5.0,74.81,1.0,85,2.35,0
14,5.0,122.09,1.0,36,19.44,0
2,3.0,242.67,1.0,1,100.0,0
18,5.0,417.1,2.0,1,100.0,0
7,4.75,139.73,1.0,51,7.84,0
19,4.0,102.83,1.0,80,6.25,1
7,3.04,93.33,1.06,566,7.6,0
21,4.333333333333333,3232.45,1.5,8,25.0,0
21,3.3452380952380953,334.42,1.65,290,14.83,0
3,1.0,528.48,2.0,1,100.0,1
7,4.303571428571429,436.47,1.22,410,10.49,0
21,3.6818181818181817,248.28,1.29,158,10.76,1
19,4.0,79.74,1.07,481,5.82,0
21,5.0,762.96,2.0,1,100.0,0
14,3.3333333333333335,64.01,1.0,28,10.71,1
21,4.0,114.8,1.1,213,21.6,0
7,4.372670807453416,127.45,1.05,245,44.49,0
15,3.1818181818181817,78.11,1.1,273,3.66,0
18,4.5,100.7,1.0,62,3.23,0
3,5.0,406.47,1.0,228,4.82,1
21,4.142857142857143,133.6,1.0,174,4.02,1
7,3.787878787878788,1194.86,1.5,517,4.06,0
7,5.0,297.25,1.33,98,3.06,1
21,3.1666666666666665,180.72,1.2,64,7.81,0
21,4.385964912280702,621.73,1.1,445,10.11,0
1,5.0,363.79,1.0,1,100.0,1
21,4.25,36.19,1.0,218,1.38,1
21,3.8333333333333335,140.05,1.0,131,4.58,0
7,5.0,274.13,1.17,268,2.24,1
21,5.0,107.9,1.0,1,100.0,1
19,4.176470588235294,156.69,1.06,530,2.83,0
14,3.875,82.65,1.14,132,5.3,0
15,4.15625,1869.17,1.07,285,10.18,0
7,5.0,57.51,1.0,1,100.0,1
18,3.0,68.35,1.0,1,100.0,0
21,2.888888888888889,76.69,1.29,169,4.14,1
7,3.6666666666666665,310.06,1.0,34,8.82,0
21,4.6,347.51,1.25,329,3.65,0
7,5.0,359.91,1.0,1,100.0,1
14,4.5,26.14,1.0,122,1.64,1
4,5.0,129.64,1.0,1,100.0,1
21,3.9585798816568047,106.03,1.39,326,29.45,0
14,2.3333333333333335,114.36,1.5,4,50.0,1
7,4.25,314.95,1.33,165,3.64,0
21,4.0,119.7,1.0,1,100.0,0
14,5.0,119.69,1.0,1,100.0,0
15,3.6666666666666665,125.8,1.0,17,17.65,1
21,4.909090909090909,60.24,1.38,79,10.13,0
21,4.125,265.83,1.0,277,5.42,0
21,5.0,168.63,1.0,1,100.0,1
19,5.0,727.22,1.0,35,5.71,1
5,4.071428571428571,142.71,1.4,46,21.74,0
21,3.6,106.48,1.19,346,10.69,0
21,4.923076923076923,118.44,1.0,109,10.09,0
